city,lat,lon,country,admin_code,tz,population,country_name,region,sub_region,lat_group
Buenos Aires,-34.61315,-58.37723,AR,07,America/Argentina/Buenos_Aires,13076300,Argentina,Americas,Latin America and the Caribbean,"[-54.8,-7.82]"
Sydney,-33.86785,151.20732,AU,02,Australia/Sydney,4627345,Australia,Oceania,Australia and New Zealand,"[-54.8,-7.82]"
Cape Town,-33.92584,18.42322,ZA,11,Africa/Johannesburg,3433441,South Africa,Africa,Sub-Saharan Africa,"[-54.8,-7.82]"
Lagos,6.45306,3.39583,NG,05,Africa/Lagos,9000000,Nigeria,Africa,Sub-Saharan Africa,"(-7.82,8.59]"
Jakarta,-6.21462,106.84513,ID,04,Asia/Jakarta,8540121,Indonesia,Asia,South-eastern Asia,"(-7.82,8.59]"
Bogota,4.60971,-74.08175,CO,34,America/Bogota,7674366,Colombia,Americas,Latin America and the Caribbean,"(-7.82,8.59]"
Manila,14.6042,120.9822,PH,NCR,Asia/Manila,10444527,Philippines,Asia,South-eastern Asia,"(8.59,17.5]"
Kano,12.00012,8.51672,NG,29,Africa/Lagos,3626068,Nigeria,Africa,Sub-Saharan Africa,"(8.59,17.5]"
Caracas,10.48801,-66.87919,VE,25,America/Caracas,3000000,Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,"(8.59,17.5]"
Mumbai,19.07283,72.88261,IN,16,Asia/Kolkata,12691836,India,Asia,Southern Asia,"(17.5,24.5]"
Mexico City,19.42847,-99.12766,MX,09,America/Mexico_City,12294193,Mexico,Americas,Latin America and the Caribbean,"(17.5,24.5]"
Nouakchott,18.08581,-15.9785,MR,NKC,Africa/Nouakchott,661400,Mauritania,Africa,Sub-Saharan Africa,"(17.5,24.5]"
Karachi,24.9056,67.0822,PK,05,Asia/Karachi,11624219,Pakistan,Asia,Southern Asia,"(24.5,30.5]"
Cairo,30.06263,31.24967,EG,11,Africa/Cairo,7734614,Egypt,Africa,Northern Africa,"(24.5,30.5]"
Houston,29.76328,-95.36327,US,TX,America/Chicago,2099451,United States of America,Americas,Northern America,"(24.5,30.5]"
Shanghai,31.22222,121.45806,CN,23,Asia/Shanghai,14608512,China,Asia,Eastern Asia,"(30.5,34.8]"
Alexandria,31.21564,29.95527,EG,06,Africa/Cairo,3811516,Egypt,Africa,Northern Africa,"(30.5,34.8]"
Los Angeles,34.05223,-118.24368,US,CA,America/Los_Angeles,3792621,United States of America,Americas,Northern America,"(30.5,34.8]"
Seoul,37.56826,126.97783,KR,11,Asia/Seoul,10349312,"Korea, Republic of",Asia,Eastern Asia,"(34.8,37.7]"
Algiers,36.7525,3.04197,DZ,01,Africa/Algiers,1977663,Algeria,Africa,Northern Africa,"(34.8,37.7]"
San Jose,37.33939,-121.89496,US,CA,America/Los_Angeles,945942,United States of America,Americas,Northern America,"(34.8,37.7]"
Istanbul,41.01384,28.94966,TR,34,Europe/Istanbul,11174257,Turkey,Asia,Western Asia,"(37.7,42]"
New York City,40.71427,-74.00597,US,NY,America/New_York,8175133,United States of America,Americas,Northern America,"(37.7,42]"
Madrid,40.4165,-3.70256,ES,29,Europe/Madrid,3255944,Spain,Europe,Southern Europe,"(37.7,42]"
Toronto,43.70011,-79.4163,CA,08,America/Toronto,4612191,Canada,Americas,Northern America,"(42,48.9]"
Harbin,45.75,126.65,CN,08,Asia/Harbin,3229883,China,Asia,Eastern Asia,"(42,48.9]"
Paris,48.85341,2.3488,FR,A8,Europe/Paris,2138551,France,Europe,Western Europe,"(42,48.9]"
London,51.50853,-0.12574,GB,ENG,Europe/London,7556900,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,"(48.9,69.6]"
Vancouver,49.24966,-123.11934,CA,02,America/Vancouver,1837969,Canada,Americas,Northern America,"(48.9,69.6]"
Karagandy,49.83333,73.1658,KZ,12,Asia/Almaty,451800,Kazakhstan,Asia,Central Asia,"(48.9,69.6]"
Stockholm,59.33258,18.0649,SE,26,Europe/Stockholm,1253309,Sweden,Europe,Northern Europe,NA
Punta Arenas,-53.15483,-70.91129,CL,10,America/Santiago,117430,Chile,Americas,Latin America and the Caribbean,NA
